image,mask
data/ISIC2018_Task1-2_Training_Input/ISIC_0010086.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0010086_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0012711.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0012711_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0012999.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0012999_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0000537.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0000537_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0013580.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0013580_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0012143.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0012143_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0000336.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0000336_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0000456.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0000456_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0000155.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0000155_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0015404.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0015404_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0013399.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0013399_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0013070.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0013070_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0014062.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0014062_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0012332.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0012332_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0012413.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0012413_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0014572.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0014572_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0011169.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0011169_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0015537.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0015537_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0012329.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0012329_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0009533.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0009533_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0014809.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0014809_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0012099.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0012099_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0014797.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0014797_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0013010.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0013010_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0014600.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0014600_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0003657.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0003657_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0013819.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0013819_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0012425.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0012425_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0012478.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0012478_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0014619.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0014619_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0011170.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0011170_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0002107.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0002107_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0009883.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0009883_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0014511.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0014511_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0000483.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0000483_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0000220.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0000220_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0006651.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0006651_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0000298.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0000298_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0000020.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0000020_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0010857.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0010857_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0013837.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0013837_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0014317.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0014317_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0014876.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0014876_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0000136.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0000136_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0013678.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0013678_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0013134.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0013134_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0000458.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0000458_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0009928.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0009928_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0015991.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0015991_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0014327.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0014327_segmentation.png
data/ISIC2018_Task1-2_Training_Input/ISIC_0014599.jpg,data/ISIC2018_Task1_Training_GroundTruth/ISIC_0014599_segmentation.png
